Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
"เหล็กฉาก 1"" เหลือง",0100070060001,code128,ไม่ระบุ,01,004,004,  ,171,214,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 1"" ส้ม",0100070060002,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 1"" ขาว",0100070060003,code128,ไม่ระบุ,01,004,004,  ,317,375,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 1"" เขียว",0100070060004,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 1-1/4"" เหลือง",0100070070001,code128,ไม่ระบุ,01,004,004,  ,211,257,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 1-1/4"" ส้ม",0100070070002,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 1-1/4"" ขาว",0100070070003,code128,ไม่ระบุ,01,004,004,  ,367,428,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 1-1/4"" เขียว",0100070070004,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 1-1/2"" เหลือง",0100070080001,code128,ไม่ระบุ,01,004,004,  ,245,310,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 1-1/2"" ส้ม",0100070080002,code128,ไม่ระบุ,01,004,004,  ,324,385,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 1-1/2"" ขาว",0100070080003,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 1-1/2"" เขียว",0100070080004,code128,ไม่ระบุ,01,004,004,  ,485,556,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
